DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY ACCESSION,GENOTYPING TECHNOLOGY
12/11/24,38291318,Wang F,1/30/24,Endocrine,www.ncbi.nlm.nih.gov/pubmed/38291318,A genome-wide association study identifies 25(OH)D3-associated genetic variants in the prediabetic Chinese population.,25(OH)D3 levels in prediabetes,451 Han Chinese ancestry individuals,NA,6q25.3,6,159834211,,PNLDC1 - MAS1,ENSG00000146453,ENSG00000130368,,13507,56777,rs9457733-?,rs9457733,0,9457733,intergenic_variant,1,NR,1.00E-06,6,,0.292,[0.18-0.41] unit increase,NR [NR] (imputed),N,25-hydroxyvitamin D3 measurement,http://www.ebi.ac.uk/efo/EFO_0803357,GCST90482627,Genome-wide genotyping array
12/11/24,38291318,Wang F,1/30/24,Endocrine,www.ncbi.nlm.nih.gov/pubmed/38291318,A genome-wide association study identifies 25(OH)D3-associated genetic variants in the prediabetic Chinese population.,25(OH)D3 levels in prediabetes,451 Han Chinese ancestry individuals,NA,9q34.13,9,131362913,,PLPP7 - PRRC2B,ENSG00000160539,ENSG00000288701,,3891,10723,rs11243373-?,rs11243373,0,11243373,intergenic_variant,1,NR,4.00E-06,5.397940009,,0.672,[0.39-0.95] unit decrease,NR [NR] (imputed),N,25-hydroxyvitamin D3 measurement,http://www.ebi.ac.uk/efo/EFO_0803357,GCST90482627,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,11q13.5,11,75748820,NR,RN7SL786P - DGAT2-DT,ENSG00000263993,ENSG00000247867,,6394,9635,rs10793129-A,rs10793129,0,10793129,regulatory_region_variant,1,0.090078,2.00E-12,11.69897,,0.024492,[0.018-0.031] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,11q13.5,11,76774172,NR,GUCY2EP - TSKU-AS1,ENSG00000204529,ENSG00000255100,,54371,8040,rs1149605-C,rs1149605,0,1149605,regulatory_region_variant,1,0.171453,7.00E-14,13.15490196,,0.01928,[0.014-0.024] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,11q23.3,11,116778201,NR,ZPR1,,,ENSG00000109917,,,rs964184-C,rs964184,0,964184,3_prime_UTR_variant,0,0.863547,5.00E-44,43.30103,,0.03977,[0.034-0.045] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,11q23.3,11,120243712,NR,POU2F3,,,ENSG00000137709,,,rs2847500-A,rs2847500,0,2847500,intron_variant,0,0.124391,8.00E-13,12.09691001,,0.021129,[0.015-0.027] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,12p12.1,12,21199607,NR,SLCO1B1,,,ENSG00000134538,,,rs12317268-G,rs12317268,0,12317268,intron_variant,0,0.151589,9.00E-12,11.04575749,,0.018528,[0.013-0.024] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,12q12,12,38209109,NR,NF1P12 - Y_RNA,ENSG00000258360,ENSG00000200874,,1917,65339,rs9668081-T,rs9668081,0,9668081,intergenic_variant,1,0.47058,5.00E-09,8.301029996,,0.0116,[0.0077-0.0155] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,12q23.1,12,95977953,NR,HAL,,,ENSG00000084110,,,rs61937878-T,rs61937878,0,61937878,missense_variant,0,0.006418,4.00E-22,21.39794001,,0.119493,[0.095-0.144] unit increase,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
7/8/20,32059762,Manousaki D,2/5/20,Am J Hum Genet,www.ncbi.nlm.nih.gov/pubmed/32059762,Genome-wide Association Study for Vitamin D Levels Reveals 69 Independent Loci.,Serum 25-Hydroxyvitamin D levels,"443,734 European ancestry individuals",NA,12q23.1,12,95981904,NR,HAL,,,ENSG00000084110,,,rs10859995-C,rs10859995,0,10859995,intron_variant,0,0.581322,7.00E-89,88.15490196,,0.039396,[0.036-0.043] unit decrease,Affymetrix [16668957] (imputed),N,vitamin D measurement,http://www.ebi.ac.uk/efo/EFO_0004631,GCST010144,Genome-wide genotyping array
